ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX
18.0,2.31,0.0,0.538,6.575,65.2,4.09,1.0,296.0
0.0,7.07,0.0,0.469,6.421,78.9,4.9671,2.0,242.0
0.0,7.07,0.0,0.469,7.185,61.1,4.9671,2.0,242.0
0.0,2.18,0.0,0.458,6.998,45.8,6.0622,3.0,222.0
0.0,2.18,0.0,0.458,7.147,54.2,6.0622,3.0,222.0
0.0,2.18,0.0,0.458,6.43,58.7,6.0622,3.0,222.0
12.5,7.87,0.0,0.524,6.012,66.6,5.5605,5.0,311.0
12.5,7.87,0.0,0.524,6.172,96.1,5.9505,5.0,311.0
12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0
12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,311.0
12.5,7.87,0.0,0.524,6.377,94.3,6.3467,5.0,311.0
12.5,7.87,0.0,0.524,6.009,82.9,6.2267,5.0,311.0
12.5,7.87,0.0,0.524,5.889,39.0,5.4509,5.0,311.0
0.0,8.14,0.0,0.538,5.949,61.8,4.7075,4.0,307.0
0.0,8.14,0.0,0.538,6.096,84.5,4.4619,4.0,307.0
0.0,8.14,0.0,0.538,5.834,56.5,4.4986,4.0,307.0
0.0,8.14,0.0,0.538,5.935,29.3,4.4986,4.0,307.0
0.0,8.14,0.0,0.538,5.99,81.7,4.2579,4.0,307.0
0.0,8.14,0.0,0.538,5.456,36.6,3.7965,4.0,307.0
0.0,8.14,0.0,0.538,5.727,69.5,3.7965,4.0,307.0
0.0,8.14,0.0,0.538,5.57,98.1,3.7979,4.0,307.0
0.0,8.14,0.0,0.538,5.965,89.2,4.0123,4.0,307.0
0.0,8.14,0.0,0.538,6.142,91.7,3.9769,4.0,307.0
0.0,8.14,0.0,0.538,5.813,100.0,4.0952,4.0,307.0
0.0,8.14,0.0,0.538,5.924,94.1,4.3996,4.0,307.0
0.0,8.14,0.0,0.538,5.599,85.7,4.4546,4.0,307.0
0.0,8.14,0.0,0.538,5.813,90.3,4.682,4.0,307.0
0.0,8.14,0.0,0.538,6.047,88.8,4.4534,4.0,307.0
0.0,8.14,0.0,0.538,6.495,94.4,4.4547,4.0,307.0
0.0,8.14,0.0,0.538,6.674,87.3,4.239,4.0,307.0
0.0,8.14,0.0,0.538,5.713,94.1,4.233,4.0,307.0
0.0,8.14,0.0,0.538,6.072,100.0,4.175,4.0,307.0
0.0,8.14,0.0,0.538,5.95,82.0,3.99,4.0,307.0
0.0,8.14,0.0,0.538,5.701,95.0,3.7872,4.0,307.0
0.0,8.14,0.0,0.538,6.096,96.9,3.7598,4.0,307.0
0.0,5.96,0.0,0.499,5.933,68.2,3.3603,5.0,279.0
0.0,5.96,0.0,0.499,5.841,61.4,3.3779,5.0,279.0
0.0,5.96,0.0,0.499,5.85,41.5,3.9342,5.0,279.0
0.0,5.96,0.0,0.499,5.966,30.2,3.8473,5.0,279.0
75.0,2.95,0.0,0.428,6.595,21.8,5.4011,3.0,252.0
75.0,2.95,0.0,0.428,7.024,15.8,5.4011,3.0,252.0
0.0,6.91,0.0,0.448,6.77,2.9,5.7209,3.0,233.0
0.0,6.91,0.0,0.448,6.169,6.6,5.7209,3.0,233.0
0.0,6.91,0.0,0.448,6.211,6.5,5.7209,3.0,233.0
0.0,6.91,0.0,0.448,6.069,40.0,5.7209,3.0,233.0
0.0,6.91,0.0,0.448,5.682,33.8,5.1004,3.0,233.0
0.0,6.91,0.0,0.448,5.786,33.3,5.1004,3.0,233.0
0.0,6.91,0.0,0.448,6.03,85.5,5.6894,3.0,233.0
0.0,6.91,0.0,0.448,5.399,95.3,5.87,3.0,233.0
0.0,6.91,0.0,0.448,5.602,62.0,6.0877,3.0,233.0
21.0,5.64,0.0,0.439,5.963,45.7,6.8147,4.0,243.0
21.0,5.64,0.0,0.439,6.115,63.0,6.8147,4.0,243.0
21.0,5.64,0.0,0.439,6.511,21.1,6.8147,4.0,243.0
21.0,5.64,0.0,0.439,5.998,21.4,6.8147,4.0,243.0
75.0,4.0,0.0,0.41,5.888,47.6,7.3197,3.0,469.0
90.0,1.22,0.0,0.403,7.249,21.9,8.6966,5.0,226.0
85.0,0.74,0.0,0.41,6.383,35.7,9.1876,2.0,313.0
100.0,1.32,0.0,0.411,6.816,40.5,8.3248,5.0,256.0
25.0,5.13,0.0,0.453,6.145,29.2,7.8148,8.0,284.0
25.0,5.13,0.0,0.453,5.927,47.2,6.932,8.0,284.0
25.0,5.13,0.0,0.453,5.741,66.2,7.2254,8.0,284.0
25.0,5.13,0.0,0.453,5.966,93.4,6.8185,8.0,284.0
25.0,5.13,0.0,0.453,6.456,67.8,7.2255,8.0,284.0
25.0,5.13,0.0,0.453,6.762,43.4,7.9809,8.0,284.0
17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3.0,216.0
80.0,3.37,0.0,0.398,6.29,17.8,6.6115,4.0,337.0
80.0,3.37,0.0,0.398,5.787,31.1,6.6115,4.0,337.0
12.5,6.07,0.0,0.409,5.878,21.4,6.498,4.0,345.0
12.5,6.07,0.0,0.409,5.594,36.8,6.498,4.0,345.0
12.5,6.07,0.0,0.409,5.885,33.0,6.498,4.0,345.0
0.0,10.81,0.0,0.413,6.417,6.6,5.2873,4.0,305.0
0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4.0,305.0
0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4.0,305.0
0.0,10.81,0.0,0.413,6.245,6.2,5.2873,4.0,305.0
0.0,12.83,0.0,0.437,6.273,6.0,4.2515,5.0,398.0
0.0,12.83,0.0,0.437,6.286,45.0,4.5026,5.0,398.0
0.0,12.83,0.0,0.437,6.279,74.5,4.0522,5.0,398.0
0.0,12.83,0.0,0.437,6.14,45.8,4.0905,5.0,398.0
0.0,12.83,0.0,0.437,6.232,53.7,5.0141,5.0,398.0
0.0,12.83,0.0,0.437,5.874,36.6,4.5026,5.0,398.0
25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4.0,281.0
25.0,4.86,0.0,0.426,6.619,70.4,5.4007,4.0,281.0
25.0,4.86,0.0,0.426,6.302,32.2,5.4007,4.0,281.0
25.0,4.86,0.0,0.426,6.167,46.7,5.4007,4.0,281.0
0.0,4.49,0.0,0.449,6.389,48.0,4.7794,3.0,247.0
0.0,4.49,0.0,0.449,6.63,56.1,4.4377,3.0,247.0
