time,value
1996,79.35
1996.083333,75.78
1996.166667,86.32
1996.25,72.6
1996.333333,74.86
1996.416667,83.81
1996.5,79.8
1996.583333,62.41
1996.666667,85.41
1996.75,83.11
1996.833333,84.21
1996.916667,89.7
1997,78.64
1997.083333,77.42
1997.166667,89.86
1997.25,81.27
1997.333333,78.68
1997.416667,89.51
1997.5,83.67
1997.583333,69.8
1997.666667,91.09
1997.75,89.43
1997.833333,91.04
1997.916667,92.87
1998,81.87
1998.083333,85.36
1998.166667,92.98
1998.25,81.09
1998.333333,85.64
1998.416667,91.14
1998.5,83.46
1998.583333,66.37
1998.666667,93.34
1998.75,85.93
1998.833333,86.81
1998.916667,93.3
1999,81.59
1999.083333,81.77
1999.166667,91.24
1999.25,79.45
1999.333333,86.99
1999.416667,96.6
1999.5,97.99
1999.583333,79.13
1999.666667,103.56
1999.75,100.89
1999.833333,99.4
1999.916667,111.8
2000,95.3
2000.083333,97.77
2000.166667,116.23
2000.25,100.98
2000.333333,104.07
2000.416667,114.64
2000.5,107.62
2000.583333,96.12
2000.666667,123.5
2000.75,116.12
2000.833333,116.86
2000.916667,128.61
2001,100.56
2001.083333,103.05
2001.166667,119.06
2001.25,92.46
2001.333333,98.75
2001.416667,111.14
2001.5,96.13
2001.583333,79.72
2001.666667,102.07
2001.75,96.18
2001.833333,101.26
2001.916667,109.85
2002,89.52
2002.083333,89.27
2002.166667,104.35
2002.25,87.05
2002.333333,89.33
2002.416667,102.2
2002.5,88.13
2002.583333,75.68
2002.666667,99.48
2002.75,96.4
2002.833333,96.16
2002.916667,101
2003,89.34
2003.083333,86.91
2003.166667,98.9
2003.25,85.54
2003.333333,85.25
2003.416667,101.14
2003.5,91.8
2003.583333,76.98
2003.666667,104.33
2003.75,99.72
2003.833333,101.06
2003.916667,109
2004,89.88
2004.083333,92.27
2004.166667,105.11
2004.25,91.5
2004.333333,92.56
2004.416667,104.35
2004.5,96.21
2004.583333,79.58
2004.666667,105.43
2004.75,99.18
2004.833333,99.77
2004.916667,113.55
2005,91.65
2005.083333,90.56
2005.166667,105.52
2005.25,92.18
2005.333333,91.22
2005.416667,109.04
2005.5,99.26
2005.583333,83.36
2005.666667,110.8
2005.75,104.95
2005.833333,107.07
2005.916667,114.4
2006,99.16
2006.083333,99.86
2006.166667,116.14
2006.25,103.48
2006.333333,103.07
2006.416667,119.32
2006.5,107.94
2006.583333,90.59
2006.666667,121.8
2006.75,117.11
2006.833333,113.71
2006.916667,120.37
2007,103.93
2007.083333,104.1
2007.166667,125.72
2007.25,104.7
2007.333333,108.45
2007.416667,123.11
2007.5,108.89
2007.583333,94.07
2007.666667,121.88
2007.75,116.81
2007.833333,115.87
2007.916667,127.14
2008,109.45
2008.083333,105.23
2008.166667,121.32
2008.25,108.78
2008.333333,103.2
2008.416667,117.93
2008.5,103.76
2008.583333,89.27
2008.666667,109.5
2008.75,104.02
2008.833333,100.12
2008.916667,101.18
2009,77.38
2009.083333,75.19
2009.166667,86.4
2009.25,74.13
2009.333333,74.1
2009.416667,85.61
2009.5,79.9
2009.583333,65.36
2009.666667,88.09
2009.75,84.6
2009.833333,88.09
2009.916667,102.52
2010,79.28
2010.083333,78.74
2010.166667,94.62
2010.25,84.66
2010.333333,85.2
2010.416667,103.94
2010.5,89.87
2010.583333,78.14
2010.666667,96.5
2010.75,94.68
2010.833333,101.77
2010.916667,103.48
2011,92.57
2011.083333,89.16
2011.166667,104.48
2011.25,89.45
2011.333333,93.4
2011.416667,102.9
2011.5,93.77
2011.583333,77.58
2011.666667,95.04
2011.75,91.77
2011.833333,93.37
2011.916667,98.34
2012,86.44
2012.083333,85.04
2012.166667,97.8
