date,wine_sales
2020-01-01,266
2020-01-02,145.9
2020-01-03,183.1
2020-01-04,119.3
2020-01-05,180.3
2020-01-06,168.5
2020-01-07,231.8
2020-01-08,224.5
2020-01-09,192.8
2020-01-10,122.9
2020-01-11,336.5
2020-01-12,185.9
2020-01-13,194.3
2020-01-14,149.5
2020-01-15,210.1
2020-01-16,273.3
2020-01-17,191.4
2020-01-18,287
2020-01-19,226
2020-01-20,303.6
2020-01-21,289.9
2020-01-22,421.6
2020-01-23,264.5
2020-01-24,342.3
2020-01-25,339.7
2020-01-26,440.4
2020-01-27,315.9
2020-01-28,439.3
2020-01-29,401.3
2020-01-30,437.4
2020-01-31,575.5
2020-02-01,407.6
2020-02-02,682
2020-02-03,475.3
2020-02-04,581.3
2020-02-05,646.9
